datetime,vz,std_vz
2021-06-23 18:30:00,-19.099817010474904,254.53259923828253
2021-06-23 19:00:00,79.16360056438229,211.4795014721991
2021-06-23 19:30:00,64.63026175776177,212.5080773272471
2021-06-23 20:00:00,56.12973014132553,164.16769158918865
2021-06-23 20:30:00,59.23785613487819,209.0947151706165
2021-06-23 21:00:00,75.86944522625636,207.5392206259351
2021-06-23 21:30:00,48.94892056992577,218.80072376804853
2021-06-23 22:00:00,68.43141044420031,179.99468270955208
2021-06-23 22:30:00,91.75214959381287,238.02858802069068
2021-06-23 23:00:00,57.599296042024235,292.39118448112623
2021-06-23 23:30:00,66.47108626246941,299.8318004523733
